type,speaking,start_time,end_time,during_time
start,1,10990,11990,1000
nd,0,16000,17010,1010
nd,0,17500,18010,510
mnd,1,21500,22020,520
nd,1,26005,27025,1020
nd,1,34020,34980,960
mnd,0,35035,38985,3950
nd,1,39015,40005,990
mnd,1,43910,45490,1580
mnd,0,51980,54000,2020
nd,1,60510,61990,1480
sh,1,66990,68000,1010
nd,1,69510,69990,480
t,1,73025,73985,960
t,1,85010,85980,970
t,1,94020,96000,1980
sh,1,110500,112010,1510
fu,1,121000,122020,1020
fd,1,137005,139005,2000
ti,1,150990,151980,990
nd,1,154500,154990,490
nd,1,158000,158500,500
nd,1,162015,163015,1000
nd,1,170010,170520,510
sh,1,171010,171990,980
sh,1,173995,175005,1010
fd,1,183990,184990,1000
sh,1,196505,197515,1010
nd,1,202025,202995,970
fd,1,212005,212605,600
nd,1,214010,214990,980
nd,1,216495,217005,510
fu,1,221655,223015,1360
mnd,1,229990,231000,1010
nd,1,231990,232510,520
mnd,1,233510,234490,980
mnd,1,235505,236465,960
mnd,1,242520,243480,960
mnd,0,246005,250045,4040
nd,0,258490,259500,1010
nd,1,264010,265020,1010
mnd,1,268000,270000,2000
nd,1,273025,273995,970
nd,1,275015,275995,980
nd,1,277015,278505,1490
ti,1,278995,280015,1020
fd,1,282500,287490,4990
fd,1,304010,305020,1010
sh,1,308000,308980,980
nd,1,313525,314485,960
