type,speaking,start_time,end_time,during_time
start,1,6010,6990,980
nd,1,14990,15490,500
ti,1,22510,23500,990
nd,1,24500,25490,990
sh,1,28980,29990,1010
sh,1,36030,40030,4000
ti,1,44540,45510,970
sh,1,48500,51990,3490
ti,1,57010,57970,960
nd,1,67495,68985,1490
ti,1,73005,73495,490
nd,1,74495,75015,520
sh,1,76510,77490,980
nd,1,82005,83015,1010
mnd,1,84015,85505,1490
t,1,85505,86025,520
nd,1,86490,87000,510
mnd,1,89990,91970,1980
ti,1,92015,93015,1000
nd,1,93050,93490,440
nd,1,95025,96005,980
nd,1,96970,98000,1030
fu,1,99010,99980,970
nd,1,100000,101010,1010
ti,1,103000,104010,1010
nd,1,123010,124010,1000
nd,1,153010,154010,1000
sh,1,157505,159505,2000
nd,1,159510,160480,970
sh,1,160480,162010,1530
nd,1,163000,163980,980
nd,1,165005,166015,1010
mnd,1,176050,177000,950
nd,1,184510,185480,970
nd,1,187010,188010,1000
nd,1,188525,189515,990
mnd,1,190485,191505,1020
sh,1,192500,194980,2480
nd,1,195005,195495,490
nd,1,196495,197485,990
sh,1,198515,199495,980
sh,1,200020,202010,1990
sh,1,202490,204990,2500
nd,1,204990,206000,1010
sh,1,208505,209490,985
nd,1,209490,210010,520
nd,1,210035,211010,975
sh,1,211010,212480,1470
nd,1,221000,222000,1000
sh,1,222005,223015,1010
nd,1,223525,224005,480
nd,1,225500,226010,510
nd,1,227000,227990,990
nd,1,229500,230000,500
nd,1,234025,235015,990
nd,1,236015,236985,970
sh,1,237015,238985,1970
nd,1,239495,240480,985
sh,1,240480,241995,1515
nd,1,241995,243005,1010
nd,1,243075,244465,1390
sh,1,244465,245505,1040
sh,1,248010,248990,980
ti,1,250015,250495,480
nd,1,250500,250990,490
nd,1,254520,255500,980
nd,1,256015,257015,1000
nd,1,268510,269500,990
nd,1,271010,272000,990
sh,1,272500,272985,485
nd,1,272985,273515,530
nd,1,274005,275005,1000
nd,1,276000,276980,980
nd,1,278000,279010,1010
sh,1,279040,279980,940
sh,1,280025,283025,3000
sh,1,288980,290000,1020
nd,1,291025,291995,970
mnd,1,294025,295025,1000
ti,1,297000,298020,1020
nd,1,298495,299515,1020
nd,1,303430,304500,1070
