type,speaking,start_time,end_time,during_time
start,1,7010,7990,980
fd,1,16510,18520,2010
sh,1,20500,21500,1000
sh,1,36495,37515,1020
nd,1,38010,38990,980
nd,1,41010,41500,490
nd,1,42040,42990,950
nd,1,46010,46980,970
nd,1,47420,47990,570
mnd,1,53990,56030,2040
ti,1,56515,57505,990
nd,1,60035,61475,1440
mnd,1,61990,63500,1510
ti,1,64480,65500,1020
fd,1,69465,70995,1530
nd,1,82525,83485,960
fd,1,89010,89525,515
mnd,1,89525,90525,1000
fu,1,91010,91980,970
mnd,1,95010,97030,2020
nd,1,105010,105500,490
nd,1,111510,112470,960
nd,1,113025,114015,990
mnd,1,114995,115995,1000
ti,0,117980,119010,1030
nd,0,123990,124500,510
fd,0,130000,132520,2520
sh,0,141000,142510,1510
mnd,1,151010,154510,3500
sh,1,154525,155015,490
nd,1,157025,157525,500
nd,1,162500,163020,520
sh,1,163505,166015,2510
nd,1,166025,166505,480
sh,0,179470,180540,1070
mnd,1,185990,187500,1510
nd,1,189500,190500,1000
nd,1,191515,192005,490
nd,1,192515,193005,490
mnd,1,197515,199005,1490
ti,1,204015,205005,990
ti,1,206505,207505,1000
mnd,1,208500,209500,1000
fu,1,209985,210995,1010
nd,1,218020,218980,960
mnd,1,219025,221505,2480
nd,1,224020,224990,970
mnd,1,232990,234990,2000
mnd,1,237015,238495,1480
mnd,1,239490,240000,510
ti,1,246030,247000,970
mnd,1,250520,251480,960
sh,1,256975,258515,1540
t,1,263010,264030,1020
nd,1,264515,265035,520
fd,1,271490,273010,1520
sh,1,274495,275015,520
sh,1,277500,278030,530
fd,1,278510,279490,980
sh,1,283515,285005,1490
sh,1,285995,286995,1000
sh,1,287480,288500,1020
sh,1,290005,291015,1010
ti,1,297020,298010,990
ti,1,299980,302010,2030
fu,1,304020,304970,950
mnd,1,311020,312980,1960
mnd,1,317505,320015,2510
fu,1,322495,323495,1000
sh,1,324000,325020,1020
nd,1,325045,325515,470
mnd,0,337055,337985,930
mnd,1,343505,345525,2020
