type,speaking,start_time,end_time,during_time
start,1,6940,7990,1050
fu,1,14020,15980,1960
nd,1,19995,20975,980
mnd,1,25000,26420,1420
fu,1,30485,32025,1540
t,1,36400,37480,1080
nd,1,52000,53000,1000
mnd,1,85015,91015,6000
nd,1,102000,102560,560
sh,1,108020,108990,970
sh,1,113000,114470,1470
nd,1,125470,126450,980
t,1,130005,130985,980
mnd,1,134010,135000,990
sh,1,136000,138530,2530
nd,1,142960,144460,1500
mnd,1,154425,156995,2570
sh,1,157415,157995,580
nd,0,159360,160000,640
mnd,0,160485,162505,2020
fu,1,168380,171010,2630
t,1,175005,180985,5980
fu,1,180990,185410,4420
sh,1,192510,193030,520
nd,1,193045,193525,480
sh,1,193580,195370,1790
t,1,195390,197990,2600
ti,1,203015,204005,990
nd,1,205445,206455,1010
fu,1,206505,207965,1460
mnd,1,207990,210990,3000
nd,1,212015,212995,980
fu,1,213010,214970,1960
sh,1,216355,217585,1230
sh,1,218505,220035,1530
t,1,220085,221015,930
nd,1,221525,222605,1080
ti,1,228000,229000,1000
sh,1,230025,232005,1980
nd,1,235040,236000,960
sh,1,236025,239015,2990
fu,1,239045,240385,1340
sh,1,240420,241990,1570
ti,1,243030,244970,1940
mnd,1,250970,252000,1030
ti,1,252990,253960,970
nd,1,256310,258000,1690
nd,1,258445,259015,570
nd,1,259035,259595,560
sh,1,261390,263010,1620
t,1,263435,265455,2020
sh,1,267000,267990,990
sh,1,270460,272580,2120
sh,1,285035,287545,2510
mnd,1,290415,292985,2570
sh,1,294015,299005,4990
mnd,1,299985,304985,5000
fu,1,304990,307020,2030
