type,speaking,start_time,end_time,during_time
start,1,4010,5000,990
fu,1,6010,6480,470
mnd,1,13490,15490,2000
nd,1,18975,20025,1050
mnd,0,24985,26495,1510
mnd,1,29005,30015,1010
mnd,1,37980,38980,1000
mnd,1,41515,44025,2510
sh,1,48525,49495,970
sh,1,52025,53515,1490
mnd,1,60530,63490,2960
mnd,1,66515,69005,2490
nd,1,73025,73605,580
nd,1,73710,74480,770
mnd,1,74500,76490,1990
nd,1,82490,83500,1010
mnd,1,93060,94520,1460
fd,1,94545,95495,950
fd,1,95985,97985,2000
mnd,1,99490,100990,1500
mnd,1,105495,106505,1010
sh,1,108505,109995,1490
nd,1,111505,112525,1020
nd,1,112980,113990,1010
mnd,1,126030,130490,4460
mnd,1,131540,133030,1490
nd,1,138480,139480,1000
mnd,1,147440,149000,1560
nd,1,149495,150445,950
fu,1,154025,155005,980
mnd,1,155040,155970,930
ti,1,156440,157520,1080
nd,1,157655,158505,850
fu,1,163075,164015,940
sh,1,170030,170450,420
sh,1,172015,172445,430
nd,1,186990,188000,1010
fd,1,189000,190480,1480
mnd,1,195020,199020,4000
nd,1,201005,202015,1010
mnd,1,203985,206545,2560
nd,1,208040,209000,960
nd,1,211015,211995,980
sh,1,224970,227010,2040
nd,1,231445,232495,1050
nd,1,236495,236995,500
mnd,1,237005,238475,1470
