type,speaking,start_time,end_time,during_time
Start,1,6990,7090,100
fu,0,15004,15697,693
fu,1,24021,26016,1995
sh,0,47511,48215,704
sh,1,50911,51509,598
fu,1,58009,58507,498
t,1,67305,68602,1297
t,1,74010,74428,418
fu,1,75979,77009,1030
t,1,82596,83003,407
nd,1,84305,85019,714
fu,0,95024,98014,2990
nd,1,111300,111702,402
fd,1,111803,113009,1206
nd,1,113384,114022,638
sh,1,130509,131006,497
mnd,1,131509,132514,1005
fu,0,157017,158009,992
sh,0,158009,158718,709
t,1,163506,164601,1095
mnd,1,166026,167001,975
mnd,1,169009,170305,1296
fu,0,176996,178001,1005
sh,0,195013,201015,6002
t,1,210004,211502,1498
fu,1,218022,218625,603
fu,1,225014,227009,1995
sh,0,229999,232004,2005
sh,1,250013,250993,980
t,1,253010,254010,1000
sh,1,266004,267009,1005
sh,0,286007,286806,799
fu,0,288017,289012,995
nd,1,303013,304008,995
t,1,313013,314018,1005
t,1,317005,318608,1603
