type,speaking,start_time,end_time,during_time
START,1,4810,5000,190
fd,1,10030,11990,1960
mnd,0,21005,22615,1610
t,0,23005,24105,1100
fd,1,24105,26005,1900
fd,0,40030,43500,3470
t,0,50050,52000,1950
nd,0,53000,53480,480
fd,1,65035,67285,2250
t,1,75000,80610,5610
t,0,81450,84550,3100
fd,1,86010,86980,970
mnd,1,87005,88525,1520
mnd,1,88990,90400,1410
t,1,93020,95990,2970
t,0,102990,104610,1620
fd,1,104625,108015,3390
fu,1,118005,118995,990
mnd,1,119025,121015,1990
mnd,1,126000,127980,1980
ti,1,135510,136600,1090
mnd,0,144010,145510,1500
mnd,1,147595,148995,1400
t,1,151010,152010,1000
mnd,0,161025,162005,980
t,0,163020,166990,3970
fd,1,180510,182990,2480
fd,1,187000,191010,4010
fd,1,201020,201980,960
mnd,1,204025,205015,990
ti,1,205525,206505,980
fd,1,213030,214400,1370
t,1,214420,216980,2560
ti,1,218495,219585,1090
t,1,220635,223005,2370
fd,1,223995,226025,2030
ti,1,231015,232015,1000
fd,1,235010,238020,3010
mnd,1,264990,269010,4020
fd,0,279005,282005,3000
t,1,290030,291010,980
fd,1,300010,304510,4500
t,0,313035,314025,990
