type,speaking,start_time,end_time,during_time
start,1,1000,1990,990
nd,1,14010,15000,990
sh,1,22000,23010,1010
nd,1,27500,28500,1000
fu,1,38010,39000,990
fd,1,40520,41510,990
t,1,44000,44990,990
t,1,46010,46510,500
t,1,46535,47205,670
sh,1,68525,69005,480
mnd,1,72000,72980,980
ti,0,75985,77025,1040
t,1,82000,83030,1030
fu,1,85510,88000,2490
nd,1,89010,90010,1000
sh,1,91025,92505,1480
t,1,109000,110000,1000
t,1,110525,111495,970
mnd,1,120000,122010,2010
ti,1,134010,135000,990
mnd,1,136990,139000,2010
sh,1,142020,143990,1970
fu,1,165020,166490,1470
t,1,194010,194990,980
t,1,223505,224525,1020
t,1,224980,226000,1020
mnd,1,254015,255995,1980
t,1,269010,270990,1980
sh,1,290005,291025,1020
nd,1,296000,297000,1000
sh,0,301995,303015,1020
t,0,304010,304510,500
