type,speaking,start_time,end_time,during_time
start,1,5010,5990,980
fu,1,7990,10500,2510
ti,1,10990,11980,990
ti,1,17490,18510,1020
nd,1,21015,21995,980
sh,1,22500,24990,2490
nd,1,27000,28000,1000
mnd,1,29015,31995,2980
fd,1,32030,34010,1980
ti,1,34035,34985,950
nd,1,36015,36505,490
ti,1,38025,39015,990
nd,1,44025,45475,1450
nd,1,50020,52000,1980
nd,1,52515,53475,960
mnd,1,54460,56470,2010
nd,1,57010,58000,990
nd,1,58440,59510,1070
sh,1,65000,67010,2010
mnd,0,72010,74000,1990
fu,1,76000,77020,1020
nd,1,77025,77985,960
nd,1,79490,80490,1000
fu,1,80515,81005,490
nd,1,81025,81995,970
nd,1,82055,82795,740
fu,1,82800,83180,380
t,1,83225,83985,760
sh,1,84540,87010,2470
mnd,1,87540,88980,1440
ti,1,89035,89985,950
nd,1,101025,102485,1460
t,1,106470,107020,550
ti,1,107040,110000,2960
ti,1,110475,111515,1040
nd,1,112010,112490,480
mnd,1,113535,115490,1955
nd,1,115490,116580,1090
sh,1,125540,126490,950
nd,1,126490,127000,510
sh,1,127020,129500,2480
fd,1,131045,131725,680
t,1,131725,132385,660
nd,1,132385,133495,1110
ti,1,133975,135015,1040
fu,1,137000,138010,1010
ti,1,138060,139000,940
mnd,1,141005,142415,1410
mnd,1,143035,144485,1450
nd,1,146515,147505,990
ti,1,150005,151505,1500
ti,0,154000,155020,1020
fd,1,175470,176980,1510
sh,1,177490,178510,1020
fu,1,178525,179985,1460
ti,1,188480,189470,990
ti,0,197470,198510,1040
mnd,0,199465,203435,3970
fd,0,205025,206485,1460
fu,1,206485,207485,1000
nd,1,208010,209010,1000
nd,1,210025,210390,365
ti,1,210390,211020,630
ti,1,212020,213010,990
sh,1,213025,214475,1450
nd,1,219475,220555,1080
mnd,1,220580,221990,1410
sh,1,222030,224000,1970
fd,0,227490,229030,1540
fu,1,235020,236980,1960
fd,1,242015,242995,980
mnd,0,253010,254980,1970
fu,1,268510,270040,1530
nd,1,270070,271470,1400
t,1,277515,278005,490
sh,1,278045,280025,1980
mnd,1,281990,283510,1520
mnd,1,285505,287035,1530
sh,1,294490,297010,2520
