type,speaking,start_time,end_time,during_time
start,1,14030,15020,990
fu,1,16030,17450,1420
mnd,1,21035,23025,1990
mnd,1,23975,25995,2020
t,1,26000,27480,1480
mnd,1,34520,35500,980
fu,1,35505,36005,500
mnd,1,36050,39500,3450
mnd,1,41980,42990,1010
mnd,1,43490,46490,3000
mnd,1,49505,53005,3500
t,1,55490,56010,520
mnd,1,56045,57985,1940
fu,1,61460,62490,1030
mnd,1,67990,70010,2020
mnd,1,71005,74295,3290
mnd,1,74325,75985,1660
sh,1,76010,77530,1520
sh,1,78035,79045,1010
t,1,80015,80995,980
t,1,81040,82460,1420
sh,1,82745,83395,650
t,1,84505,85435,930
fd,1,86005,87015,1010
mnd,1,90015,94025,4010
mnd,1,99390,100420,1030
ti,1,107010,107990,980
mnd,1,110450,114990,4540
nd,1,116575,117465,890
t,1,117975,118975,1000
mnd,1,119960,122020,2060
sh,1,122055,123505,1450
sh,1,125015,125995,980
mnd,1,126020,126990,970
sh,1,127990,130010,2020
t,1,130510,131460,950
mnd,1,134000,137990,3990
mnd,1,139010,141990,2980
sh,1,143005,143995,990
nd,1,147035,147985,950
nd,1,148495,149505,1010
mnd,1,155500,158010,2510
fd,1,159980,160495,515
sh,1,160495,161515,1020
mnd,1,161540,162490,950
mnd,1,167490,169500,2010
t,1,171495,171980,485
mnd,1,171980,173010,1030
nd,1,174010,175010,1000
sh,1,175525,177535,2010
mnd,1,178505,180505,2000
mnd,1,181030,187030,6000
mnd,1,193990,197020,3030
mnd,1,198020,199000,980
sh,1,199005,199995,990
mnd,1,206015,207435,1420
mnd,1,211010,211970,960
t,1,212015,212985,970
mnd,1,213015,214005,990
sh,1,214015,215995,1980
nd,1,221020,221600,580
sh,1,222015,224025,2010
t,1,229015,230005,990
ti,1,231025,232015,990
mnd,1,243000,247000,4000
mnd,1,249055,250375,1320
t,1,250540,251530,990
nd,1,252460,253430,970
mnd,1,256030,256980,950
sh,1,257040,260950,3910
sh,1,262040,263030,990
mnd,1,263380,264990,1610
mnd,1,266940,268010,1070
sh,1,268050,268490,440
mnd,1,268545,269445,900
nd,1,270430,271420,990
mnd,1,275970,277520,1550
sh,1,278530,279010,480
mnd,1,279065,280015,950
sh,1,280545,281595,1050
mnd,1,281985,283505,1520
t,1,283505,284485,980
fu,1,285040,285980,940
sh,1,288015,289975,1960
t,1,305030,306010,980
mnd,1,306635,307415,780
t,1,307440,308290,850
